,info
method=[binary_search]_edge=[0-1]_changed=[Room1],0.0
method=[binary_search]_edge=[0-3]_changed=[Room1],0.875
method=[binary_search]_edge=[1-2]_changed=[Room1],0.0
method=[binary_search]_edge=[2-5]_changed=[Room1],0.78125
method=[binary_search]_edge=[3-4]_changed=[Room1],0.875
method=[binary_search]_edge=[4-5]_changed=[Room1],0.765625
method=[binary_search]_edge=[4-7]_changed=[Room1],0.732422
method=[binary_search]_edge=[5-8]_changed=[Room1],0.65625
method=[binary_search]_edge=[7-8]_changed=[Room1],0.78125
method=[binary_search]_edge=[global]_changed=[Room1],0.438094
method=[binary_search]_edge=[0-1]_changed=[Room2],0.849609
method=[binary_search]_edge=[0-3]_changed=[Room2],0.820312
method=[binary_search]_edge=[1-2]_changed=[Room2],0.0
method=[binary_search]_edge=[2-5]_changed=[Room2],0.0
method=[binary_search]_edge=[3-4]_changed=[Room2],0.875
method=[binary_search]_edge=[4-5]_changed=[Room2],0.875
method=[binary_search]_edge=[4-7]_changed=[Room2],0.78125
method=[binary_search]_edge=[5-8]_changed=[Room2],0.65625
method=[binary_search]_edge=[7-8]_changed=[Room2],0.78125
method=[binary_search]_edge=[global]_changed=[Room2],0.438094
method=[binary_search]_edge=[0-1]_changed=[Room3],0.849609
method=[binary_search]_edge=[0-3]_changed=[Room3],0.0
method=[binary_search]_edge=[1-2]_changed=[Room3],0.875
method=[binary_search]_edge=[2-5]_changed=[Room3],0.78125
method=[binary_search]_edge=[3-4]_changed=[Room3],0.0
method=[binary_search]_edge=[4-5]_changed=[Room3],0.765625
method=[binary_search]_edge=[4-7]_changed=[Room3],0.732422
method=[binary_search]_edge=[5-8]_changed=[Room3],0.65625
method=[binary_search]_edge=[7-8]_changed=[Room3],0.78125
method=[binary_search]_edge=[global]_changed=[Room3],0.381142
method=[binary_search]_edge=[0-1]_changed=[Room4],0.90625
method=[binary_search]_edge=[0-3]_changed=[Room4],0.875
method=[binary_search]_edge=[1-2]_changed=[Room4],0.875
method=[binary_search]_edge=[2-5]_changed=[Room4],0.78125
method=[binary_search]_edge=[3-4]_changed=[Room4],0.0
method=[binary_search]_edge=[4-5]_changed=[Room4],0.0
method=[binary_search]_edge=[4-7]_changed=[Room4],0.0
method=[binary_search]_edge=[5-8]_changed=[Room4],0.65625
method=[binary_search]_edge=[7-8]_changed=[Room4],0.732422
method=[binary_search]_edge=[global]_changed=[Room4],0.406551
method=[binary_search]_edge=[0-1]_changed=[Room5],0.90625
method=[binary_search]_edge=[0-3]_changed=[Room5],0.875
method=[binary_search]_edge=[1-2]_changed=[Room5],0.820312
method=[binary_search]_edge=[2-5]_changed=[Room5],0.0
method=[binary_search]_edge=[3-4]_changed=[Room5],0.875
method=[binary_search]_edge=[4-5]_changed=[Room5],0.0
method=[binary_search]_edge=[4-7]_changed=[Room5],0.732422
method=[binary_search]_edge=[5-8]_changed=[Room5],0.0
method=[binary_search]_edge=[7-8]_changed=[Room5],0.732422
method=[binary_search]_edge=[global]_changed=[Room5],0.410713
method=[binary_search]_edge=[0-1]_changed=[Room6],0.90625
method=[binary_search]_edge=[0-3]_changed=[Room6],0.875
method=[binary_search]_edge=[1-2]_changed=[Room6],0.875
method=[binary_search]_edge=[2-5]_changed=[Room6],0.78125
method=[binary_search]_edge=[3-4]_changed=[Room6],0.875
method=[binary_search]_edge=[4-5]_changed=[Room6],0.820312
method=[binary_search]_edge=[4-7]_changed=[Room6],0.78125
method=[binary_search]_edge=[5-8]_changed=[Room6],0.65625
method=[binary_search]_edge=[7-8]_changed=[Room6],0.78125
method=[binary_search]_edge=[global]_changed=[Room6],0.4673
method=[binary_search]_edge=[0-1]_changed=[Room7],0.849609
method=[binary_search]_edge=[0-3]_changed=[Room7],0.820312
method=[binary_search]_edge=[1-2]_changed=[Room7],0.875
method=[binary_search]_edge=[2-5]_changed=[Room7],0.78125
method=[binary_search]_edge=[3-4]_changed=[Room7],0.820312
method=[binary_search]_edge=[4-5]_changed=[Room7],0.820312
method=[binary_search]_edge=[4-7]_changed=[Room7],0.0
method=[binary_search]_edge=[5-8]_changed=[Room7],0.65625
method=[binary_search]_edge=[7-8]_changed=[Room7],0.0
method=[binary_search]_edge=[global]_changed=[Room7],0.381142
