,time [s]
method=[binary_search]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search]_edge=[0-3]_changed=[Room1],95.067795
method=[binary_search]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room1],37.33384
method=[binary_search]_edge=[3-4]_changed=[Room1],143.63042
method=[binary_search]_edge=[4-5]_changed=[Room1],556.62537
method=[binary_search]_edge=[4-7]_changed=[Room1],446.54163
method=[binary_search]_edge=[5-8]_changed=[Room1],76.08743
method=[binary_search]_edge=[7-8]_changed=[Room1],37.88053
method=[binary_search]_edge=[0-1]_changed=[Room2],540.57245
method=[binary_search]_edge=[0-3]_changed=[Room2],362.59518
method=[binary_search]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room2],111.88078
method=[binary_search]_edge=[4-5]_changed=[Room2],153.2569
method=[binary_search]_edge=[4-7]_changed=[Room2],94.61892
method=[binary_search]_edge=[5-8]_changed=[Room2],182.83127
method=[binary_search]_edge=[7-8]_changed=[Room2],89.73311
method=[binary_search]_edge=[0-1]_changed=[Room3],369.20663
method=[binary_search]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search]_edge=[1-2]_changed=[Room3],139.31842
method=[binary_search]_edge=[2-5]_changed=[Room3],34.894054
method=[binary_search]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room3],651.24554
method=[binary_search]_edge=[4-7]_changed=[Room3],589.4562
method=[binary_search]_edge=[5-8]_changed=[Room3],158.00742
method=[binary_search]_edge=[7-8]_changed=[Room3],129.24782
method=[binary_search]_edge=[0-1]_changed=[Room4],92.71999
method=[binary_search]_edge=[0-3]_changed=[Room4],110.173775
method=[binary_search]_edge=[1-2]_changed=[Room4],131.14798
method=[binary_search]_edge=[2-5]_changed=[Room4],112.14816
method=[binary_search]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room4],38.517788
method=[binary_search]_edge=[7-8]_changed=[Room4],384.8035
method=[binary_search]_edge=[0-1]_changed=[Room5],89.504135
method=[binary_search]_edge=[0-3]_changed=[Room5],88.0793
method=[binary_search]_edge=[1-2]_changed=[Room5],396.43134
method=[binary_search]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[3-4]_changed=[Room5],148.13312
method=[binary_search]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search]_edge=[4-7]_changed=[Room5],367.38174
method=[binary_search]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search]_edge=[7-8]_changed=[Room5],383.3092
method=[binary_search]_edge=[0-1]_changed=[Room6],194.76138
method=[binary_search]_edge=[0-3]_changed=[Room6],213.56334
method=[binary_search]_edge=[1-2]_changed=[Room6],89.11825
method=[binary_search]_edge=[2-5]_changed=[Room6],34.83003
method=[binary_search]_edge=[3-4]_changed=[Room6],73.03198
method=[binary_search]_edge=[4-5]_changed=[Room6],414.82178
method=[binary_search]_edge=[4-7]_changed=[Room6],88.67066
method=[binary_search]_edge=[5-8]_changed=[Room6],74.5833
method=[binary_search]_edge=[7-8]_changed=[Room6],131.00641
method=[binary_search]_edge=[0-1]_changed=[Room7],365.86993
method=[binary_search]_edge=[0-3]_changed=[Room7],373.74683
method=[binary_search]_edge=[1-2]_changed=[Room7],87.60427
method=[binary_search]_edge=[2-5]_changed=[Room7],90.37136
method=[binary_search]_edge=[3-4]_changed=[Room7],397.33417
method=[binary_search]_edge=[4-5]_changed=[Room7],418.08255
method=[binary_search]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search]_edge=[5-8]_changed=[Room7],159.01208
method=[binary_search]_edge=[7-8]_changed=[Room7],-1.0
