,info
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],0.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],0.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],0.738281
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],0.792969
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],0.537109
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],0.585938
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],0.556641
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],0.5625
method=[binary_search_from_scratch]_edge=[global]_changed=[Room1],0.185807
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],0.792969
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],0.820312
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],0.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],0.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],0.736328
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],0.634766
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],0.537109
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],0.408203
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],0.515625
method=[binary_search_from_scratch]_edge=[global]_changed=[Room2],0.167281
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],0.792969
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],0.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],0.710938
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],0.685547
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],0.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],0.634766
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],0.634766
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],0.408203
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],0.421875
method=[binary_search_from_scratch]_edge=[global]_changed=[Room3],0.157761
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],0.792969
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],0.710938
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],0.685547
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],0.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],0.59375
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],0.328125
method=[binary_search_from_scratch]_edge=[global]_changed=[Room4],0.229471
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],0.792969
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],0.820312
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],0.710938
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],0.792969
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],0.537109
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],0.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],0.515625
method=[binary_search_from_scratch]_edge=[global]_changed=[Room5],0.180149
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],0.792969
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],0.601562
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],0.791016
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],0.792969
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],0.537109
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],0.585938
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],0.482422
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],0.375
method=[binary_search_from_scratch]_edge=[global]_changed=[Room6],0.182032
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],0.849609
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],0.710938
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],0.710938
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],0.738281
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],0.792969
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],0.537109
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],0.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],0.445312
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],0.0
method=[binary_search_from_scratch]_edge=[global]_changed=[Room7],0.198581
