,time [s]
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room1],861.4826
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room1],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room1],878.7437
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room1],165.28102
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room1],900.85516
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room1],894.2024
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room1],977.5606
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room1],930.1353
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room2],822.2433
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room2],777.72705
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room2],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room2],199.45398
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room2],841.9314
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room2],833.15216
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room2],933.08466
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room2],1057.5559
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room3],752.0093
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room3],874.87286
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room3],826.2141
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room3],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room3],1059.6864
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room3],938.50726
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room3],1070.0583
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room3],905.55286
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room4],763.2088
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room4],869.6597
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room4],846.30145
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room4],849.9497
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room4],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room4],1004.7821
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room4],1045.0099
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room5],800.4631
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room5],773.0313
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room5],964.57556
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room5],815.5716
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room5],930.62274
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room5],-1.0
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room5],1047.4531
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room6],798.9685
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room6],840.01306
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room6],962.2894
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room6],847.7062
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room6],811.5194
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room6],969.75195
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room6],1001.54193
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room6],949.6149
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room6],1060.1582
method=[binary_search_from_scratch]_edge=[0-1]_changed=[Room7],819.5518
method=[binary_search_from_scratch]_edge=[0-3]_changed=[Room7],843.3369
method=[binary_search_from_scratch]_edge=[1-2]_changed=[Room7],976.67163
method=[binary_search_from_scratch]_edge=[2-5]_changed=[Room7],862.3733
method=[binary_search_from_scratch]_edge=[3-4]_changed=[Room7],856.94635
method=[binary_search_from_scratch]_edge=[4-5]_changed=[Room7],935.355
method=[binary_search_from_scratch]_edge=[4-7]_changed=[Room7],-1.0
method=[binary_search_from_scratch]_edge=[5-8]_changed=[Room7],1161.6575
method=[binary_search_from_scratch]_edge=[7-8]_changed=[Room7],-1.0
