,info
method=[infimum]_edge=[0-1]_changed=[Room1],0.0
method=[infimum]_edge=[0-3]_changed=[Room1],0.875
method=[infimum]_edge=[1-2]_changed=[Room1],0.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.84375
method=[infimum]_edge=[3-4]_changed=[Room1],0.84375
method=[infimum]_edge=[4-5]_changed=[Room1],0.875
method=[infimum]_edge=[4-7]_changed=[Room1],0.75
method=[infimum]_edge=[5-8]_changed=[Room1],0.8125
method=[infimum]_edge=[7-8]_changed=[Room1],0.625
method=[infimum]_edge=[global]_changed=[Room1],0.524872
method=[infimum]_edge=[0-1]_changed=[Room2],0.252536
method=[infimum]_edge=[0-3]_changed=[Room2],0.875
method=[infimum]_edge=[1-2]_changed=[Room2],0.0
method=[infimum]_edge=[2-5]_changed=[Room2],0.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.84375
method=[infimum]_edge=[4-5]_changed=[Room2],0.698863
method=[infimum]_edge=[4-7]_changed=[Room2],0.75
method=[infimum]_edge=[5-8]_changed=[Room2],0.394859
method=[infimum]_edge=[7-8]_changed=[Room2],0.625
method=[infimum]_edge=[global]_changed=[Room2],0.346069
method=[infimum]_edge=[0-1]_changed=[Room3],0.875
method=[infimum]_edge=[0-3]_changed=[Room3],0.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.875
method=[infimum]_edge=[2-5]_changed=[Room3],0.84375
method=[infimum]_edge=[3-4]_changed=[Room3],0.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.623004
method=[infimum]_edge=[4-7]_changed=[Room3],0.75
method=[infimum]_edge=[5-8]_changed=[Room3],0.8125
method=[infimum]_edge=[7-8]_changed=[Room3],0.625
method=[infimum]_edge=[global]_changed=[Room3],0.524872
method=[infimum]_edge=[0-1]_changed=[Room4],0.875
method=[infimum]_edge=[0-3]_changed=[Room4],0.875
method=[infimum]_edge=[1-2]_changed=[Room4],0.875
method=[infimum]_edge=[2-5]_changed=[Room4],0.84375
method=[infimum]_edge=[3-4]_changed=[Room4],0.0
method=[infimum]_edge=[4-5]_changed=[Room4],0.0
method=[infimum]_edge=[4-7]_changed=[Room4],0.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.8125
method=[infimum]_edge=[7-8]_changed=[Room4],0.625
method=[infimum]_edge=[global]_changed=[Room4],0.524872
method=[infimum]_edge=[0-1]_changed=[Room5],0.875
method=[infimum]_edge=[0-3]_changed=[Room5],0.875
method=[infimum]_edge=[1-2]_changed=[Room5],0.875
method=[infimum]_edge=[2-5]_changed=[Room5],0.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.480618
method=[infimum]_edge=[4-5]_changed=[Room5],0.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.75
method=[infimum]_edge=[5-8]_changed=[Room5],0.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.178647
method=[infimum]_edge=[global]_changed=[Room5],0.056346
method=[infimum]_edge=[0-1]_changed=[Room6],0.875
method=[infimum]_edge=[0-3]_changed=[Room6],0.875
method=[infimum]_edge=[1-2]_changed=[Room6],0.875
method=[infimum]_edge=[2-5]_changed=[Room6],0.84375
method=[infimum]_edge=[3-4]_changed=[Room6],0.84375
method=[infimum]_edge=[4-5]_changed=[Room6],0.875
method=[infimum]_edge=[4-7]_changed=[Room6],0.75
method=[infimum]_edge=[5-8]_changed=[Room6],0.8125
method=[infimum]_edge=[7-8]_changed=[Room6],0.359457
method=[infimum]_edge=[global]_changed=[Room6],0.524872
method=[infimum]_edge=[0-1]_changed=[Room7],0.875
method=[infimum]_edge=[0-3]_changed=[Room7],0.875
method=[infimum]_edge=[1-2]_changed=[Room7],0.875
method=[infimum]_edge=[2-5]_changed=[Room7],0.84375
method=[infimum]_edge=[3-4]_changed=[Room7],0.84375
method=[infimum]_edge=[4-5]_changed=[Room7],0.875
method=[infimum]_edge=[4-7]_changed=[Room7],0.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.538184
method=[infimum]_edge=[7-8]_changed=[Room7],0.0
method=[infimum]_edge=[global]_changed=[Room7],0.347665
