,time [s]
method=[infimum]_edge=[0-1]_changed=[Room1],-1.0
method=[infimum]_edge=[0-3]_changed=[Room1],2.701766
method=[infimum]_edge=[1-2]_changed=[Room1],-1.0
method=[infimum]_edge=[2-5]_changed=[Room1],0.081864
method=[infimum]_edge=[3-4]_changed=[Room1],0.081974
method=[infimum]_edge=[4-5]_changed=[Room1],0.083021
method=[infimum]_edge=[4-7]_changed=[Room1],0.082901
method=[infimum]_edge=[5-8]_changed=[Room1],0.08561
method=[infimum]_edge=[7-8]_changed=[Room1],0.082201
method=[infimum]_edge=[0-1]_changed=[Room2],0.083366
method=[infimum]_edge=[0-3]_changed=[Room2],0.082366
method=[infimum]_edge=[1-2]_changed=[Room2],-1.0
method=[infimum]_edge=[2-5]_changed=[Room2],-1.0
method=[infimum]_edge=[3-4]_changed=[Room2],0.081453
method=[infimum]_edge=[4-5]_changed=[Room2],0.088804
method=[infimum]_edge=[4-7]_changed=[Room2],0.084702
method=[infimum]_edge=[5-8]_changed=[Room2],0.081848
method=[infimum]_edge=[7-8]_changed=[Room2],0.083107
method=[infimum]_edge=[0-1]_changed=[Room3],0.087075
method=[infimum]_edge=[0-3]_changed=[Room3],-1.0
method=[infimum]_edge=[1-2]_changed=[Room3],0.081774
method=[infimum]_edge=[2-5]_changed=[Room3],0.081411
method=[infimum]_edge=[3-4]_changed=[Room3],-1.0
method=[infimum]_edge=[4-5]_changed=[Room3],0.081966
method=[infimum]_edge=[4-7]_changed=[Room3],0.095006
method=[infimum]_edge=[5-8]_changed=[Room3],0.091479
method=[infimum]_edge=[7-8]_changed=[Room3],0.09236
method=[infimum]_edge=[0-1]_changed=[Room4],0.086977
method=[infimum]_edge=[0-3]_changed=[Room4],0.081714
method=[infimum]_edge=[1-2]_changed=[Room4],0.081253
method=[infimum]_edge=[2-5]_changed=[Room4],0.083998
method=[infimum]_edge=[3-4]_changed=[Room4],-1.0
method=[infimum]_edge=[4-5]_changed=[Room4],-1.0
method=[infimum]_edge=[4-7]_changed=[Room4],-1.0
method=[infimum]_edge=[5-8]_changed=[Room4],0.084512
method=[infimum]_edge=[7-8]_changed=[Room4],0.082085
method=[infimum]_edge=[0-1]_changed=[Room5],0.087142
method=[infimum]_edge=[0-3]_changed=[Room5],0.088189
method=[infimum]_edge=[1-2]_changed=[Room5],0.083611
method=[infimum]_edge=[2-5]_changed=[Room5],-1.0
method=[infimum]_edge=[3-4]_changed=[Room5],0.088406
method=[infimum]_edge=[4-5]_changed=[Room5],-1.0
method=[infimum]_edge=[4-7]_changed=[Room5],0.081799
method=[infimum]_edge=[5-8]_changed=[Room5],-1.0
method=[infimum]_edge=[7-8]_changed=[Room5],0.082359
method=[infimum]_edge=[0-1]_changed=[Room6],0.093759
method=[infimum]_edge=[0-3]_changed=[Room6],0.083208
method=[infimum]_edge=[1-2]_changed=[Room6],0.083267
method=[infimum]_edge=[2-5]_changed=[Room6],0.084089
method=[infimum]_edge=[3-4]_changed=[Room6],0.084354
method=[infimum]_edge=[4-5]_changed=[Room6],0.084297
method=[infimum]_edge=[4-7]_changed=[Room6],0.08984
method=[infimum]_edge=[5-8]_changed=[Room6],0.084567
method=[infimum]_edge=[7-8]_changed=[Room6],0.08428
method=[infimum]_edge=[0-1]_changed=[Room7],0.088486
method=[infimum]_edge=[0-3]_changed=[Room7],0.081574
method=[infimum]_edge=[1-2]_changed=[Room7],0.081861
method=[infimum]_edge=[2-5]_changed=[Room7],0.0808
method=[infimum]_edge=[3-4]_changed=[Room7],0.089013
method=[infimum]_edge=[4-5]_changed=[Room7],0.087816
method=[infimum]_edge=[4-7]_changed=[Room7],-1.0
method=[infimum]_edge=[5-8]_changed=[Room7],0.087381
method=[infimum]_edge=[7-8]_changed=[Room7],-1.0
