,time [s]
method=[informed_check]_edge=[0-1]_changed=[Room1],-1.0
method=[informed_check]_edge=[0-3]_changed=[Room1],14.901797
method=[informed_check]_edge=[1-2]_changed=[Room1],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room1],13.316319
method=[informed_check]_edge=[3-4]_changed=[Room1],12.000256
method=[informed_check]_edge=[4-5]_changed=[Room1],12.265826
method=[informed_check]_edge=[4-7]_changed=[Room1],14.330375
method=[informed_check]_edge=[5-8]_changed=[Room1],13.071924
method=[informed_check]_edge=[7-8]_changed=[Room1],14.498971
method=[informed_check]_edge=[0-1]_changed=[Room2],12.052469
method=[informed_check]_edge=[0-3]_changed=[Room2],6.224688
method=[informed_check]_edge=[1-2]_changed=[Room2],-1.0
method=[informed_check]_edge=[2-5]_changed=[Room2],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room2],6.813452
method=[informed_check]_edge=[4-5]_changed=[Room2],9.589352
method=[informed_check]_edge=[4-7]_changed=[Room2],7.281738
method=[informed_check]_edge=[5-8]_changed=[Room2],12.656008
method=[informed_check]_edge=[7-8]_changed=[Room2],9.126461
method=[informed_check]_edge=[0-1]_changed=[Room3],9.156465
method=[informed_check]_edge=[0-3]_changed=[Room3],-1.0
method=[informed_check]_edge=[1-2]_changed=[Room3],11.561337
method=[informed_check]_edge=[2-5]_changed=[Room3],7.941747
method=[informed_check]_edge=[3-4]_changed=[Room3],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room3],10.331521
method=[informed_check]_edge=[4-7]_changed=[Room3],7.252328
method=[informed_check]_edge=[5-8]_changed=[Room3],7.335407
method=[informed_check]_edge=[7-8]_changed=[Room3],9.093609
method=[informed_check]_edge=[0-1]_changed=[Room4],6.97701
method=[informed_check]_edge=[0-3]_changed=[Room4],6.220602
method=[informed_check]_edge=[1-2]_changed=[Room4],7.028853
method=[informed_check]_edge=[2-5]_changed=[Room4],7.991874
method=[informed_check]_edge=[3-4]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-5]_changed=[Room4],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room4],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room4],7.33632
method=[informed_check]_edge=[7-8]_changed=[Room4],9.4857
method=[informed_check]_edge=[0-1]_changed=[Room5],7.02494
method=[informed_check]_edge=[0-3]_changed=[Room5],6.225032
method=[informed_check]_edge=[1-2]_changed=[Room5],7.130981
method=[informed_check]_edge=[2-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[3-4]_changed=[Room5],9.628977
method=[informed_check]_edge=[4-5]_changed=[Room5],-1.0
method=[informed_check]_edge=[4-7]_changed=[Room5],7.279924
method=[informed_check]_edge=[5-8]_changed=[Room5],-1.0
method=[informed_check]_edge=[7-8]_changed=[Room5],13.721366
method=[informed_check]_edge=[0-1]_changed=[Room6],7.089059
method=[informed_check]_edge=[0-3]_changed=[Room6],6.788795
method=[informed_check]_edge=[1-2]_changed=[Room6],7.010964
method=[informed_check]_edge=[2-5]_changed=[Room6],8.573326
method=[informed_check]_edge=[3-4]_changed=[Room6],7.065401
method=[informed_check]_edge=[4-5]_changed=[Room6],7.498446
method=[informed_check]_edge=[4-7]_changed=[Room6],7.350666
method=[informed_check]_edge=[5-8]_changed=[Room6],7.545662
method=[informed_check]_edge=[7-8]_changed=[Room6],16.706314
method=[informed_check]_edge=[0-1]_changed=[Room7],7.998388
method=[informed_check]_edge=[0-3]_changed=[Room7],6.60253
method=[informed_check]_edge=[1-2]_changed=[Room7],7.181048
method=[informed_check]_edge=[2-5]_changed=[Room7],8.125415
method=[informed_check]_edge=[3-4]_changed=[Room7],7.4347
method=[informed_check]_edge=[4-5]_changed=[Room7],7.665024
method=[informed_check]_edge=[4-7]_changed=[Room7],-1.0
method=[informed_check]_edge=[5-8]_changed=[Room7],13.973212
method=[informed_check]_edge=[7-8]_changed=[Room7],-1.0
