,info
method=[informed_check]_edge=[0-1]_changed=[Room1],0.0
method=[infimum_prep]_edge=[0-3]_changed=[Room1],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room1],0.90625
method=[informed_check]_edge=[1-2]_changed=[Room1],0.0
method=[infimum_prep]_edge=[2-5]_changed=[Room1],0.8125
method=[informed_check]_edge=[2-5]_changed=[Room1],0.8125
method=[infimum_prep]_edge=[3-4]_changed=[Room1],0.84375
method=[informed_check]_edge=[3-4]_changed=[Room1],0.84375
method=[infimum_prep]_edge=[4-5]_changed=[Room1],0.78125
method=[informed_check]_edge=[4-5]_changed=[Room1],0.78125
method=[infimum_prep]_edge=[4-7]_changed=[Room1],0.75
method=[informed_check]_edge=[4-7]_changed=[Room1],0.75
method=[infimum_prep]_edge=[5-8]_changed=[Room1],0.53125
method=[informed_check]_edge=[5-8]_changed=[Room1],0.53125
method=[infimum_prep]_edge=[7-8]_changed=[Room1],0.6875
method=[informed_check]_edge=[7-8]_changed=[Room1],0.6875
method=[informed_check]_edge=[global]_changed=[Room1],0.394272
method=[infimum_prep]_edge=[0-1]_changed=[Room2],0.510433
method=[informed_check]_edge=[0-1]_changed=[Room2],0.510433
method=[infimum_prep]_edge=[0-3]_changed=[Room2],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room2],0.90625
method=[informed_check]_edge=[1-2]_changed=[Room2],0.0
method=[informed_check]_edge=[2-5]_changed=[Room2],0.0
method=[infimum_prep]_edge=[3-4]_changed=[Room2],0.84375
method=[informed_check]_edge=[3-4]_changed=[Room2],0.84375
method=[infimum_prep]_edge=[4-5]_changed=[Room2],0.589557
method=[informed_check]_edge=[4-5]_changed=[Room2],0.589557
method=[infimum_prep]_edge=[4-7]_changed=[Room2],0.75
method=[informed_check]_edge=[4-7]_changed=[Room2],0.75
method=[infimum_prep]_edge=[5-8]_changed=[Room2],0.322164
method=[informed_check]_edge=[5-8]_changed=[Room2],0.322164
method=[infimum_prep]_edge=[7-8]_changed=[Room2],0.6875
method=[informed_check]_edge=[7-8]_changed=[Room2],0.6875
method=[informed_check]_edge=[global]_changed=[Room2],0.394272
method=[infimum_prep]_edge=[0-1]_changed=[Room3],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room3],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room3],0.0
method=[infimum_prep]_edge=[1-2]_changed=[Room3],0.875
method=[informed_check]_edge=[1-2]_changed=[Room3],0.875
method=[infimum_prep]_edge=[2-5]_changed=[Room3],0.8125
method=[informed_check]_edge=[2-5]_changed=[Room3],0.8125
method=[informed_check]_edge=[3-4]_changed=[Room3],0.0
method=[infimum_prep]_edge=[4-5]_changed=[Room3],0.59886
method=[informed_check]_edge=[4-5]_changed=[Room3],0.59886
method=[infimum_prep]_edge=[4-7]_changed=[Room3],0.75
method=[informed_check]_edge=[4-7]_changed=[Room3],0.75
method=[infimum_prep]_edge=[5-8]_changed=[Room3],0.53125
method=[informed_check]_edge=[5-8]_changed=[Room3],0.53125
method=[infimum_prep]_edge=[7-8]_changed=[Room3],0.6875
method=[informed_check]_edge=[7-8]_changed=[Room3],0.6875
method=[informed_check]_edge=[global]_changed=[Room3],0.342278
method=[infimum_prep]_edge=[0-1]_changed=[Room4],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room4],0.90625
method=[infimum_prep]_edge=[0-3]_changed=[Room4],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room4],0.90625
method=[infimum_prep]_edge=[1-2]_changed=[Room4],0.875
method=[informed_check]_edge=[1-2]_changed=[Room4],0.875
method=[infimum_prep]_edge=[2-5]_changed=[Room4],0.8125
method=[informed_check]_edge=[2-5]_changed=[Room4],0.8125
method=[informed_check]_edge=[3-4]_changed=[Room4],0.0
method=[informed_check]_edge=[4-5]_changed=[Room4],0.0
method=[informed_check]_edge=[4-7]_changed=[Room4],0.0
method=[infimum_prep]_edge=[5-8]_changed=[Room4],0.53125
method=[informed_check]_edge=[5-8]_changed=[Room4],0.53125
method=[infimum_prep]_edge=[7-8]_changed=[Room4],0.6875
method=[informed_check]_edge=[7-8]_changed=[Room4],0.6875
method=[informed_check]_edge=[global]_changed=[Room4],0.342278
method=[infimum_prep]_edge=[0-1]_changed=[Room5],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room5],0.90625
method=[infimum_prep]_edge=[0-3]_changed=[Room5],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room5],0.90625
method=[infimum_prep]_edge=[1-2]_changed=[Room5],0.875
method=[informed_check]_edge=[1-2]_changed=[Room5],0.875
method=[informed_check]_edge=[2-5]_changed=[Room5],0.0
method=[infimum_prep]_edge=[3-4]_changed=[Room5],0.536935
method=[informed_check]_edge=[3-4]_changed=[Room5],0.536935
method=[informed_check]_edge=[4-5]_changed=[Room5],0.0
method=[infimum_prep]_edge=[4-7]_changed=[Room5],0.75
method=[informed_check]_edge=[4-7]_changed=[Room5],0.75
method=[informed_check]_edge=[5-8]_changed=[Room5],0.0
method=[infimum_prep]_edge=[7-8]_changed=[Room5],0.408825
method=[informed_check]_edge=[7-8]_changed=[Room5],0.408825
method=[informed_check]_edge=[global]_changed=[Room5],0.1492
method=[infimum_prep]_edge=[0-1]_changed=[Room6],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room6],0.90625
method=[infimum_prep]_edge=[0-3]_changed=[Room6],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room6],0.90625
method=[infimum_prep]_edge=[1-2]_changed=[Room6],0.875
method=[informed_check]_edge=[1-2]_changed=[Room6],0.875
method=[infimum_prep]_edge=[2-5]_changed=[Room6],0.8125
method=[informed_check]_edge=[2-5]_changed=[Room6],0.8125
method=[infimum_prep]_edge=[3-4]_changed=[Room6],0.84375
method=[informed_check]_edge=[3-4]_changed=[Room6],0.84375
method=[infimum_prep]_edge=[4-5]_changed=[Room6],0.78125
method=[informed_check]_edge=[4-5]_changed=[Room6],0.78125
method=[infimum_prep]_edge=[4-7]_changed=[Room6],0.75
method=[informed_check]_edge=[4-7]_changed=[Room6],0.75
method=[infimum_prep]_edge=[5-8]_changed=[Room6],0.53125
method=[informed_check]_edge=[5-8]_changed=[Room6],0.53125
method=[infimum_prep]_edge=[7-8]_changed=[Room6],0.400784
method=[informed_check]_edge=[7-8]_changed=[Room6],0.400784
method=[informed_check]_edge=[global]_changed=[Room6],0.342278
method=[infimum_prep]_edge=[0-1]_changed=[Room7],0.90625
method=[informed_check]_edge=[0-1]_changed=[Room7],0.90625
method=[infimum_prep]_edge=[0-3]_changed=[Room7],0.90625
method=[informed_check]_edge=[0-3]_changed=[Room7],0.90625
method=[infimum_prep]_edge=[1-2]_changed=[Room7],0.875
method=[informed_check]_edge=[1-2]_changed=[Room7],0.875
method=[infimum_prep]_edge=[2-5]_changed=[Room7],0.8125
method=[informed_check]_edge=[2-5]_changed=[Room7],0.8125
method=[infimum_prep]_edge=[3-4]_changed=[Room7],0.84375
method=[informed_check]_edge=[3-4]_changed=[Room7],0.84375
method=[infimum_prep]_edge=[4-5]_changed=[Room7],0.78125
method=[informed_check]_edge=[4-5]_changed=[Room7],0.78125
method=[informed_check]_edge=[4-7]_changed=[Room7],0.0
method=[infimum_prep]_edge=[5-8]_changed=[Room7],0.301864
method=[informed_check]_edge=[5-8]_changed=[Room7],0.301864
method=[informed_check]_edge=[7-8]_changed=[Room7],0.0
method=[informed_check]_edge=[global]_changed=[Room7],0.194487
